Date,Open Price,Close Price,High Price,Low Price,Adj.Close Price,wrong Volume
03-Nov-22,7144.14,7188.63,7188.63,7076.47,7188.63,163806074
04-Nov-22,7188.63,7334.84,7376.23,7188.63,7334.84,172539079
07-Nov-22,7334.84,7299.99,7346.66,7288,7299.99,208317356
08-Nov-22,7299.99,7306.14,7313.46,7244.83,7306.14,267421913
09-Nov-22,7306.14,7296.25,7307.8,7263.46,7296.25,103256571
10-Nov-22,7296.25,7375.34,7405.09,7253.36,7375.34,145619544
11-Nov-22,7375.34,7318.04,7408.61,7316.84,7318.04,179249179
14-Nov-22,7318.04,7385.17,7413.82,7317.57,7385.17,98066350
15-Nov-22,7385.17,7369.44,7413.01,7344.85,7369.44,81569717
16-Nov-22,7369.44,7351.19,7394.42,7341.59,7351.19,202488766
17-Nov-22,7351.19,7346.54,7354.07,7294.75,7346.54,217856455
18-Nov-22,7346.54,7385.52,7423.51,7343.5,7385.52,183817838
21-Nov-22,7385.52,7376.85,7402.79,7343.37,7376.85,92791927
22-Nov-22,7376.85,7452.84,7458.88,7373.56,7452.84,83314627
23-Nov-22,7452.84,7465.24,7498.34,7452.84,7465.24,69709484
24-Nov-22,7465.24,7466.6,7488.07,7443.46,7466.6,81675544
25-Nov-22,7466.6,7486.67,7497.23,7461.78,7486.67,110335789
28-Nov-22,7486.67,7474.02,7496.8,7420,7474.02,84750573
29-Nov-22,7474.02,7512,7543.09,7473.99,7512,159989227
30-Nov-22,7512,7573.05,7599.27,7512,7573.05,322356192
01-Dec-22,7573.05,7558.49,7599.7,7552.29,7558.49,145222762
02-Dec-22,7558.49,7556.23,7570.46,7507.98,7556.23,81679736
05-Dec-22,7556.23,7567.54,7598.21,7547.76,7567.54,123022931
06-Dec-22,7567.54,7521.39,7567.64,7521.39,7521.39,153067676
07-Dec-22,7521.39,7489.19,7567.23,7489.19,7489.19,100195784
08-Dec-22,7489.19,7472.17,7507.98,7469.12,7472.17,97466662
09-Dec-22,7472.17,7476.63,7498.04,7431.44,7476.63,90398849
12-Dec-22,7476.63,7445.97,7476.63,7438.87,7445.97,88878353
13-Dec-22,7445.97,7502.89,7553.36,7428.98,7502.89,104218283
14-Dec-22,7502.89,7495.93,7504.49,7461.68,7495.93,164442396
15-Dec-22,7495.93,7426.17,7495.93,7411.07,7426.17,92514730
16-Dec-22,7426.17,7332.12,7429.29,7305.72,7332.12,310458569
19-Dec-22,7332.12,7361.31,7385.38,7332.12,7361.31,58932758
20-Dec-22,7361.31,7370.62,7389.92,7302.82,7370.62,256626712
21-Dec-22,7370.62,7497.32,7498.48,7368.72,7497.32,68006226
22-Dec-22,7497.32,7469.28,7540.31,7463.54,7469.28,56008053
28-Dec-22,7473.01,7497.19,7547,7473.01,7497.19,21260125
29-Dec-22,7497.19,7512.72,7516.36,7434.64,7512.72,163534062
03-Jan-23,7451.74,7554.09,7626.4,7448.69,7554.09,57363872
04-Jan-23,7554.09,7585.19,7609.25,7545.18,7585.19,70883064
05-Jan-23,7585.19,7633.45,7658.79,7564.7,7633.45,207335617
06-Jan-23,7633.45,7699.49,7700.81,7633.45,7699.49,151327410
09-Jan-23,7699.49,7724.94,7725.74,7688.69,7724.94,227269311
10-Jan-23,7724.94,7694.49,7724.94,7684.35,7694.49,307068898
11-Jan-23,7694.49,7724.98,7772.37,7694.35,7724.98,213765647
12-Jan-23,7724.98,7794.04,7809.13,7724.55,7794.04,101136392
13-Jan-23,7794.04,7844.07,7864.95,7793.55,7844.07,207144770
16-Jan-23,7844.07,7860.07,7867.23,7841.91,7860.07,163754936
17-Jan-23,7860.07,7851.03,7875.58,7830.35,7851.03,176454914
18-Jan-23,7851.03,7830.7,7867.43,7824.73,7830.7,185729358
19-Jan-23,7830.7,7747.29,7830.8,7726.23,7747.29,366897570
20-Jan-23,7747.29,7770.59,7790.87,7747.29,7770.59,118916752
23-Jan-23,7770.59,7784.67,7811.17,7768.47,7784.67,142937793
24-Jan-23,7784.67,7757.36,7800.89,7741.75,7757.36,233192896
25-Jan-23,7757.36,7744.87,7773.57,7710.78,7744.87,91787188
26-Jan-23,7744.87,7761.11,7787.57,7744.87,7761.11,147224990
27-Jan-23,7761.11,7765.15,7777.4,7742.12,7765.15,174361498
30-Jan-23,7765.15,7784.87,7790.69,7718.33,7784.87,183069130
31-Jan-23,7784.87,7771.7,7784.87,7708.34,7771.7,107285597
01-Feb-23,7771.7,7761.11,7798.51,7745.43,7761.11,236093951
02-Feb-23,7761.11,7820.16,7837.84,7758.51,7820.16,262819310
03-Feb-23,7820.16,7901.8,7906.58,7806.85,7901.8,360728092
06-Feb-23,7901.8,7836.71,7901.8,7808.39,7836.71,233055500
07-Feb-23,7836.71,7864.71,7890.82,7835.36,7864.71,113217034
08-Feb-23,7864.71,7885.17,7934.3,7864.66,7885.17,189494435
09-Feb-23,7885.17,7911.15,7949.57,7874.23,7911.15,187980494
10-Feb-23,7911.15,7882.45,7913.31,7850.94,7882.45,187038913
13-Feb-23,7882.45,7947.6,7947.6,7881.86,7947.6,248265487
14-Feb-23,7947.6,7953.85,7996.35,7947.6,7953.85,225038197
15-Feb-23,7953.85,7997.83,8003.65,7921.32,7997.83,72370911
16-Feb-23,7997.83,8012.53,8047.06,7978.61,8012.53,139594661
17-Feb-23,8012.53,8004.36,8012.53,7957.69,8004.36,217595392
20-Feb-23,8004.36,8014.31,8020.13,7995.46,8014.31,88714159
21-Feb-23,8014.31,7977.75,8014.4,7952.48,7977.75,382886231
22-Feb-23,7977.75,7930.63,7977.75,7879.03,7930.63,112028222
23-Feb-23,7930.63,7907.72,7935.56,7888.88,7907.72,232515990
24-Feb-23,7907.72,7878.66,7939.17,7870.39,7878.66,256234450
27-Feb-23,7878.66,7935.11,7949.97,7878.66,7935.11,221996856
28-Feb-23,7935.11,7876.28,7935.11,7854.82,7876.28,340229657
01-Mar-23,7876.28,7914.93,7950.69,7874.34,7914.93,124339369
02-Mar-23,7914.93,7944.04,7945.82,7875.03,7944.04,301689386
03-Mar-23,7944.04,7947.11,7974.4,7920.07,7947.11,363460753
06-Mar-23,7947.11,7929.79,7948.67,7897.45,7929.79,307246676
07-Mar-23,7929.79,7919.48,7959.77,7909.77,7919.48,106907605
08-Mar-23,7919.48,7929.92,7946.62,7891.42,7929.92,112701267
09-Mar-23,7929.92,7879.98,7930.26,7862.01,7879.98,207997923
10-Mar-23,7879.98,7748.35,7879.98,7708.32,7748.35,243927689
13-Mar-23,7748.35,7548.63,7752.43,7546.02,7548.63,148173542
14-Mar-23,7548.63,7637.11,7641.55,7503.25,7637.11,255384226
15-Mar-23,7637.11,7344.45,7637.39,7333.35,7344.45,389541898
16-Mar-23,7344.45,7410.03,7458.64,7331.49,7410.03,225025720
17-Mar-23,7410.03,7335.4,7510.47,7309.3,7335.4,259713819
20-Mar-23,7335.4,7403.85,7426.24,7206.82,7403.85,323320146
21-Mar-23,7403.85,7536.22,7557.55,7403.85,7536.22,587411174
22-Mar-23,7536.22,7566.84,7585.57,7505.48,7566.84,275273771
23-Mar-23,7566.84,7499.6,7566.84,7476.13,7499.6,185822724
24-Mar-23,7499.6,7405.45,7499.6,7335.71,7405.45,220510728
27-Mar-23,7405.45,7471.77,7491.74,7405.45,7471.77,238689623
28-Mar-23,7471.77,7484.25,7524.55,7464.61,7484.25,256017626
29-Mar-23,7484.25,7564.27,7566.8,7484.21,7564.27,154546828
